video_id,title,likes,comments
NU-9rMO4PT4,100K Celebration Vlog | *EMOTIONAL*,147,57
xR-WwKOkprY,GRWM for 100K Celebration | Chillbee #shorts #ashortaday,891,47
cjUWSZroKGk,Post Makeup Skincare Routine | Chillbee,103,63
zgW45MAVHJg,Christmas Makeup Look | Easy Beginner Friendly Makeup Tutorial | Red Lip Look | Chillbee,175,109
puedUF4c7PQ,Masterclass and 100k live session | Chillbee,59,18
0nWbJCf7o70,Favourite Facewash of 2022 | Chillbee #shorts #ashortaday,262,14
wFL2FTpJImI,Amazon Beauty Finds #shorts #ashortaday,371,23
rfYbwlI_Ivw,I PAID A SUBSCRIBER ₹5000 to make me a MYSTERY BOX! I am *SO SHOCKED* | Chillbee,500,103
USN5j-SWEJU,Makeup Hacks For Long Lasting Makeup #shorts #ashortaday Chillbee,669,17
pdnHv3yLGv8,POV: You spend an evening with me💖 #shorts,419,23
eUXFGmVyLUU,* Long Lasting* Wedding Guest Makeup Look | Beginner Friendly Makeup | Chillbee,133,47
fy7Dw8WALx0,POV: You are the main character! #shorts #ashortaday,600,25
VhUYz3sPxDE,Chit Chat GRWM | Birthday Makeup Look | *Life Update* | Chillbee,105,75
B9c7Al_um20,"*AFFORDABLE* Amazon Finds | Starts at Rs 125 | Makeup, Skincare, Haircare Haul | Chillbee",245,89
VRmYjkTtk3k,Trying Out SAROJINI NAGAR MAKEUP | Cheap Makeup Test | Is it WORTH Buying? Part 2 | Chillbee,681,94
4RSrMWCjVEY,What I Eat In A Day *25th Birthday Edition* #shorts #ashortaday,3573,145
3SPcjALo0p8,My 25th Birthday Vlog ft. @AnshikaSoni @aartiraimakeovers @SwatiRaii | Chillbee,217,143
QGF5PG39DPY,Something new | Chillbee,66,7
_meH-2S6vl0,Hair Transformation | Makeup Transition #shorts,495,27
dIirmIm9RFg,*NEW* STUDIO TOUR + Makeup DeClutter | DECLUTTER &amp; ORGANIZING! | Chillbee,256,72
hWaFIfxM3mM,*SPICIEST* Noodles Challenge | HAALAT KHARAB? | Chillbee,159,114
CaAPiHG5YmE,Birthday celebration for @SwatiRaii | AMA Cafe,284,25
ma-lNTMUW1s,MY HOUSE TOUR: See how I live in my Indian home! Chillbee,604,88
KhXnCSdDC84,Youtube Setup Background for Home | Easy &amp; Affordable ft. Snapmint EMIs | Chillbee,176,47
LKhD4ObjhNY,*HECTIC* Day In My Life | Stall at Hansraj Food Fest | Answering Questions for Amazon Live| Chillbee,161,64
6vtvzMZxLL8,A *FAILED* Day In My Life | Amazon Live Session | Zomato Delivery and more... | Chillbee,148,39
03tWwUBzTuw,What I Ordered V/S What I got ft. Tokyo Talkies | Link in comments | Chillbee #shorts,1043,18
Q2LlBd8SVEs,*NEW* YouTube Update | Latest YouTube Feature | Chillbee,556,31
qPzGs-kq4qY,Lajpat Nagar Market LATEST COLLECTION | Diwali Collection | Lajpat Nagar Furniture Market | Chillbee,159,46
luPSKdlKdyo,Diwali GRWM | Easy Festive Makeup Look for Beginners | Diwali Makeup ft. Amazon | Chillbee,230,119
b5R35uEqobw,"Amazon Sent Me A Mystery Box worth 10,000+ | Creator Kit From Amazon | Giveaway | Chillbee",329,164
z2wuqKqmQx8,Getting my First Ever Hair Spa with my Bestie | Chillbee,144,84
8womntCBFsE,Karwachauth Makeup ft. Mataji | Karwachauth Makeup Tutorial for mature skin | Chillbee,204,82
6h8gluD8cMI,Rent Lehengas in Delhi | Starting at ₹2500 | Celebrity Inspired Lehenga in Delhi | Chillbee,16845,590
C1MfjzSDCT4,Bridal Lehengas starting at ₹2500 | Full video on my YouTube channel | #shorts #ashortaday,3602,75
_4vl4RdNW-c,*Unsponsored* Honest Mamaearth Makeup Review | Not Worth It?? | One Brand Makeup | Chillbee,626,169
OslSCq8SFBQ,"*Starts at Rs. 49* First Zudio Haul | Tops, Jackets, Shirts and more | Affordable Fashion | Chillbee",228,76
2eCi5HC2I5c,Backdrop Idea for shorts or reels #shorts,2336,32
gcx_miEAfRg,Easy Navratri Makeup | Smokey Eye Makeup Tutorial | #shorts #ashortaday,1353,19
_Yhv96RUpzI,Affordable Bags For Festive Season from Amazon | #shorts #ashortaday,1114,29
jKjNztUmLks,My Top 3 Perfumes #shorts #ashortaday,1621,16
gR03FDUC6Nw,Amazon Kurta Sets Haul under ₹999 #shorts #ashortaday,1748,24
O4-Q8w7DZ_0,Top 3 Lipsticks for this Festive Season #shorts #ashortaday,843,17
mst0rJMJl2o,YouTube Masterclass 30th September | Chillbee,77,23
dDaclmZ8w-s,Dressing Up As Perfumes! Ft. @MINISOIndia #shorts #ashortaday,3226,27
leGgx42xo00,ASMR Skincare #shorts #ashortaday,557,12
baH07h_81R0,Navratri Outfit ft. Myntra | #shorts #ashortaday,855,16
PWylXSxZqgY,Mini Amazon Haul | Top Affordable Products | #shorts #ashortaday,700,18
wgfOzFow56w,"*FESTIVE* September Favorites | Makeup, Fashion, Haircare, Fragrance and more | Chillbee",133,42
IIT6Po_LG7c,"A Day in My Life | Coffee Date, Meeting School Friend | Chillbee",133,28
9wY4o8LI2zI,GRWM for my First Hair Spa #shorts,39805,85
KNXA96C_DdY,What I eat in a day *Sunday Edition* #shorts,4908,49
IhCoRY9fLEA,Affordable Festive Kurtis Starting at Rs299 | Amazon Kurti Haul | Chillbee,123,59
teLLZ_sj-ek,Getting my first Tattoo 🥹🙈. #shorts,6417,33
kK7jB5W4IbU,A Day in My life *Packing Orders* *Creating Content* and *Birthday Celebrations* | Chillbee,400,83
wTMYKQtXD0o,Festive Makeup Look for Beginners | Easy and Affordable Makeup Tutorial |  Chillbee,198,84
F642TDY2QTg,De clutter with me | Chillbee,106,14
bzbDFnUL2Eg,*Under ₹369* Handmade Earrings from Instagram Store Swadesi.jewellery #shorts,2098,21
Qb1MNjrhNcQ,*Under ₹200* NY Bae One Brand Makeup Tutorial | Affordable Makeup Haul | Chillbee,303,53
JhO-ggin-38,Best Serum for Acne Prone Skin #shorts,389,8
cgzIZjyG-Bo,TESTING VIRAL TIK TOK BEAUTY HACKS... DO THEY ACTUALLY WORK!? Korean Blush and Lip Hacks | Chillbee,202,47
S615aioVOU0,Off Duty Denims + Baesic World Tops Review | Trendy Jeans and Tops Haul | *Try On* | Chillbee,272,83
bjbvJVZ8SK4,Answering the Questions I have been Avoiding | Spicy QnA + GRWM | Chillbee,227,53
ZBOQpzJiH4g,Sugar Pop One Brand Makeup Tutorial | Affordable Makeup Products | Chillbee,358,61
JmCZJwWjBaY,Affordable Night Suit Sets starting from ₹499| Chillbee,72,9
lYduFO6CuDQ,Best Rakhi trip EVER!,428,15
YwVCfX5VQkY,Tried Renee Jelly Tints and I am *SHOOK* #shorts,1080,25
TIL7RsVe4HE,*Starts at Rs 334* Affordable Night Suits and Gym Wear Haul ft. @Clovia |     Chillbee,86,37
x1bWjnWW-HY,GRWM | Chillbee,91,10
GbsUo7Ag3SU,5 Minute Makeup Look for College | *Easy* No Makeup Makeup Look | Great Freedom Sale | Chillbee,182,53
NJ0bQGuw3J4,Chill time with Chillbee! Pointless stories #chillwithchillbee,817,26
ba5ams_f_lM,Attending My First Beauty Event | Vlog #23 | Chillbee,204,34
OPbV8Z_9qto,GRWM for my First Event | Party/Shoot Makeup Tutorial for Beginners | Chillbee,220,50
McJGjsTVzlM,Magnetic Lashes😱 #shorts,934,22
HqsqtC0HDdo,Please HELP😩🙏,1906,134
JVCiQn1JFhM,Pop Up Store At DLF Promenade | Meeting Subscribers😍 Store Launch &quot;MyDeeva&quot; | Chillbee,168,43
vBzZtKJcZJs,Chit chat random live session | Chillbee,94,9
op76gPO9Jss,Trying Viral Makeup Hacks *PART 2* ft. @gushbeauty8395 | Clean Girl Makeup Look | Chillbee,404,39
Udtu5P7cVV8,20% off and Free shipping | www.mydeeva.com | Handbags | Slings | Chillbee,342,9
eZAwcuy-pNs,One Brand Makeup Tutorial ft. @reneecosmeticsofficial | Affordable Makeup Products | Chillbee,768,148
9FtR_27DksY,Testing Amazon Beauty Finds | Mini Lipsticks | Pass Or Fail?? | Chillbee,628,129
VCqrFh-28BI,Chit Chat Clovia Haul | Chillbee,73,6
5SWRs5r9oQA,Nightwears starting from Rs. 449 | 50%-80% Off | Clovia&#39;s Biggest End of Season Sale | Chillbee,123,60
Y2_uQvWfku0,Life Update | Chillbee,182,12
3FeyZPotDr8,Black Lipstick?? Color Changing Lipstick from Renee | #shorts | Chillbee,152309,204
J4xl3eFGYTc,*WEIRD* Products Internet Made Me Buy! I am SHOOK😍 #amazonfinds | Chillbee,447,55
HxjM8lrarPk,*INSANE* 15 Minutes Shopping Challenge in Sarojini Nagar 🛒 ft. @AnshikaSoni + Haul | Chillbee,729,124
L5KT9ql-d3o,Vega 3 in 1 Hair styler review | Chillbee #shorts,5563,62
3aq22Yit5MM,Amazon Tops and T-shirts Haul | Chillbee #shorts,5244,64
12yw86ulbm0,"*AFFORDABLE* Summer  Tops, T-shirts and Dresses | BTS T-shirts | Trendy Tops #amazonfinds | Chillbee",509,85
GwPp44Ml38g,How To Get Flawless Base for Summers *EID MAKEUP* | GRWM | Chillbee,194,21
PhLSI3BDEF4,Lakme One Brand Makeup Tutorial | Affordable Makeup Routine for Beginners | Chillbee,802,109
gc-iC_MD4KU,5 Minute Makeup Challenge | It&#39;s a MESS!!!  Chillbee,407,112
C3LfzRheBV4,Affordable Makeup Kit For Beginners | Starts at INR 72 | Chillbee,845,69
zB_QElsuVG8,Summer Skincare and Makeup Routine ft. Amazon | Summer Makeup Hacks | Chillbee,374,64
EjUAJFGpfLI,We Saw A Real Mummy in Albert Hall Museum | Last Day in Jaipur | Chillbee,188,29
Nj7StUvbHHU,Jaipur Vlog Day 3 | City Palace VIP Tour | Padampura Mandir | Johri Bazar | Chillbee,116,22
qbvo2oFi4Cc,"Sanganer ji, Galta Ji Mandir | Raj Mandir Experience | Hawa Mahal Jaipur | Jaipur Vlog 2 | Chillbee",142,54
54rOTvFNnS8,Delhi to Jaipur Road trip | Hotel Tour | Amer Fort | Nahargarh Fort Sunset |  Pearl Palace Jaipur,171,74
WmTn1KwkCMA,Huge Discounts on Kushal’s Fashion Jewellery  | Jewellery for Brides | Chillbee,263,91
J5kFsRA_KCU,HUGE ANNOUNCEMENT | Chillbee,151,10
aaj9jGqRzR4,Pre Holi Skincare and Haircare| GRWM for HOLI | Chillbee,339,0
Cv06TdCMqac,Started my own store🥰 Link in pinned comment 🙏,1282,36
XqjMU0jlcvE,Maybelline One Brand Makeup Tutorial | Chillbee,1038,167
SVyocZHqFeU,*CHEAPEST* Sarojini Nagar Haul Starting at INR50🤯 Affordable Trendy Tops | Chillbee,549,126
4sjwWmo5xiI,Visit Scrunchitup.in to order | COD available,2319,86
